Title,Link
Main page,https://en.wikipedia.org/wiki/Main_Page
Contents,https://en.wikipedia.org/wiki/Wikipedia:Contents
Current events,https://en.wikipedia.org/wiki/Portal:Current_events
Random article,https://en.wikipedia.org/wiki/Special:Random
About Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About
Help,https://en.wikipedia.org/wiki/Help:Contents
Learn to edit,https://en.wikipedia.org/wiki/Help:Introduction
Community portal,https://en.wikipedia.org/wiki/Wikipedia:Community_portal
Recent changes,https://en.wikipedia.org/wiki/Special:RecentChanges
Upload file,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard
Special pages,https://en.wikipedia.org/wiki/Special:SpecialPages
Search,https://en.wikipedia.org/wiki/Special:Search
Article,https://en.wikipedia.org/wiki/Web_scraping
Talk,https://en.wikipedia.org/wiki/Talk:Web_scraping
Read,https://en.wikipedia.org/wiki/Web_scraping
Read,https://en.wikipedia.org/wiki/Web_scraping
What links here,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Web_scraping
Related changes,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Web_scraping
Data scraping,https://en.wikipedia.org/wiki/Data_scraping
Scraper site,https://en.wikipedia.org/wiki/Scraper_site
verification,https://en.wikipedia.org/wiki/Wikipedia:Verifiability
improve this article,https://en.wikipedia.org/wiki/Special:EditPage/Web_scraping
adding citations to reliable sources,https://en.wikipedia.org/wiki/Help:Referencing_for_beginners
Learn how and when to remove this message,https://en.wikipedia.org/wiki/Help:Maintenance_template_removal
data scraping,https://en.wikipedia.org/wiki/Data_scraping
extracting data,https://en.wikipedia.org/wiki/Data_extraction
websites,https://en.wikipedia.org/wiki/Website
World Wide Web,https://en.wikipedia.org/wiki/World_Wide_Web
Hypertext Transfer Protocol,https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol
bot,https://en.wikipedia.org/wiki/Internet_bot
web crawler,https://en.wikipedia.org/wiki/Web_crawler
database,https://en.wikipedia.org/wiki/Database
spreadsheet,https://en.wikipedia.org/wiki/Spreadsheet
retrieval,https://en.wikipedia.org/wiki/Data_retrieval
analysis,https://en.wikipedia.org/wiki/Data_analysis
parsed,https://en.wikipedia.org/wiki/Parsing
Contact scraping,https://en.wikipedia.org/wiki/Contact_scraping
web indexing,https://en.wikipedia.org/wiki/Web_indexing
web mining,https://en.wikipedia.org/wiki/Web_mining
data mining,https://en.wikipedia.org/wiki/Data_mining
price comparison,https://en.wikipedia.org/wiki/Comparison_shopping_website
website change detection,https://en.wikipedia.org/wiki/Change_detection_and_notification
web mashup,https://en.wikipedia.org/wiki/Web_mashup
web data integration,https://en.wikipedia.org/wiki/Web_data_integration
Web pages,https://en.wikipedia.org/wiki/Web_page
markup languages,https://en.wikipedia.org/wiki/Markup_languages
HTML,https://en.wikipedia.org/wiki/HTML
XHTML,https://en.wikipedia.org/wiki/XHTML
end-users,https://en.wikipedia.org/wiki/End-user_(computer_science)
market research,https://en.wikipedia.org/wiki/Market_research
artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
data feeds,https://en.wikipedia.org/wiki/Data_feed
web servers,https://en.wikipedia.org/wiki/Web_servers
JSON,https://en.wikipedia.org/wiki/JSON
DOM,https://en.wikipedia.org/wiki/Document_Object_Model
computer vision,https://en.wikipedia.org/wiki/Computer_vision
natural language processing,https://en.wikipedia.org/wiki/Natural_language_processing
birth of the World Wide Web,https://en.wikipedia.org/wiki/History_of_the_World_Wide_Web
World Wide Web Wanderer,https://en.wikipedia.org/wiki/World_Wide_Web_Wanderer
JumpStation,https://en.wikipedia.org/wiki/JumpStation
citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
API,https://en.wikipedia.org/wiki/API
API,https://en.wikipedia.org/wiki/API
